title,rank,interpark_rank,yes24_rank,interpark_rating,yes24_rating,image_url,detail_url,yes24_detail_url,performance_period,booking_rate,venue,source,crawled_at,final_rank
연극 〈타지마할의 근위병〉,61,,14.0,,,,https://ticket.yes24.com/Perf/55481,https://ticket.yes24.com/Perf/55481,,,,yes24,2025-11-04T16:23:22.666182,61
BAC 초이스 Ⅵ 뮤지컬 〈이매지너리〉,62,,16.0,,,,https://ticket.yes24.com/Perf/55358,https://ticket.yes24.com/Perf/55358,,,,yes24,2025-11-04T16:23:22.666186,62
주민진 콘서트 [기적：From Universe],63,,19.0,,4.0,,https://ticket.yes24.com/Perf/55324,https://ticket.yes24.com/Perf/55324,,,,yes24,2025-11-04T16:23:22.666190,63
창작뮤지컬 [님만헤민 게스트하우스],64,,21.0,,0.0,,https://ticket.yes24.com/Perf/55273,https://ticket.yes24.com/Perf/55273,,,,yes24,2025-11-04T16:23:22.666193,64
뮤지컬 [바람으로의 여행],65,,22.0,,,,https://ticket.yes24.com/Perf/55079,https://ticket.yes24.com/Perf/55079,,,,yes24,2025-11-04T16:23:22.666194,65
뮤지컬 ［인사이드 윌리엄］- 대전,66,,23.0,,,,https://ticket.yes24.com/Perf/54967,https://ticket.yes24.com/Perf/54967,,,,yes24,2025-11-04T16:23:22.666196,66
제20회 부산불꽃축제,67,,24.0,,,,https://ticket.yes24.com/Perf/54955,https://ticket.yes24.com/Perf/54955,,,,yes24,2025-11-04T16:23:22.666197,67
뮤지컬 [그레이하우스],68,,26.0,,4.0,,https://ticket.yes24.com/Perf/54914,https://ticket.yes24.com/Perf/54914,,,,yes24,2025-11-04T16:23:22.666200,68
[얼리버드] 장 미셸 바스키아：과거와 미래를 잇는 상징적 기호들,69,,27.0,,0.0,,https://ticket.yes24.com/Perf/54876,https://ticket.yes24.com/Perf/54876,,,,yes24,2025-11-04T16:23:22.666201,69
[비지정석] 뮤지컬 [김종욱 찾기],70,,28.0,,0.0,,https://ticket.yes24.com/Perf/54861,https://ticket.yes24.com/Perf/54861,,,,yes24,2025-11-04T16:23:22.666203,70
뮤지컬 [후크],71,,29.0,,4.0,,https://ticket.yes24.com/Perf/54857,https://ticket.yes24.com/Perf/54857,,,,yes24,2025-11-04T16:23:22.666204,71
연극 〈에쿠우스 ´EQUUS´〉: 한국 초연 50주년 기념공연,72,,31.0,,4.0,,https://ticket.yes24.com/Perf/54678,https://ticket.yes24.com/Perf/54678,,,,yes24,2025-11-04T16:23:22.666206,72
뮤지컬 써니텐,73,,33.0,,5.0,,https://ticket.yes24.com/Perf/52880,https://ticket.yes24.com/Perf/52880,,,,yes24,2025-11-04T16:23:22.666209,73
해리 포터와 죽음의 성물™ Part,74,,34.0,,5.0,,https://ticket.yes24.com/Perf/52508,https://ticket.yes24.com/Perf/52508,,,,yes24,2025-11-04T16:23:22.666210,74
[부산] 뮤지컬 [어서 오세요， 휴남동 서점입니다],75,,35.0,,0.0,,https://ticket.yes24.com/Perf/52271,https://ticket.yes24.com/Perf/52271,,,,yes24,2025-11-04T16:23:22.666211,75
[비지정석] 뮤지컬 [연남동 빙굴빙굴 빨래방] - 2025년 공연,76,,36.0,,0.0,,https://ticket.yes24.com/Perf/51850,https://ticket.yes24.com/Perf/51850,,,,yes24,2025-11-04T16:23:22.666212,76
뮤지컬 드라큘라(Dracula) OST [10TH ANNIVERSARY CAST RECORDING],77,,37.0,,5.0,,https://ticket.yes24.com/Perf/51497,https://ticket.yes24.com/Perf/51497,,,,yes24,2025-11-04T16:23:22.666213,77
페인터즈-광화문전용관,78,,38.0,,5.0,,https://ticket.yes24.com/Perf/49034,https://ticket.yes24.com/Perf/49034,,,,yes24,2025-11-04T16:23:22.666215,78
25 뮤지컬 천로역정,79,,39.0,,5.0,,https://ticket.yes24.com/Perf/47835,https://ticket.yes24.com/Perf/47835,,,,yes24,2025-11-04T16:23:22.666216,79
25 스크루테이프의 편지,80,,40.0,,5.0,,https://ticket.yes24.com/Perf/40844,https://ticket.yes24.com/Perf/40844,,,,yes24,2025-11-04T16:23:22.666217,80
락뮤지컬 [프리즌],81,,41.0,,5.0,,https://ticket.yes24.com/Perf/38930,https://ticket.yes24.com/Perf/38930,,,,yes24,2025-11-04T16:23:22.666219,81
[삼척] 가족뮤지컬 [빨간모자와늑대],82,,42.0,,0.0,,https://ticket.yes24.com/Perf/31334,https://ticket.yes24.com/Perf/31334,,,,yes24,2025-11-04T16:23:22.666220,82
